file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA,C1_baseline_nA_codex,C1_peak_nA_codex,C1_amp_nA_codex,C1_t_peak_s_codex,C1_rise_10_90_s,C1_tau_1e_decay_s,C1_decay_1e_resolved,C1_half_width_s_codex,C1_charge_nC
3-7-EPSC-365 nm-200 300 ms-64ci-4.csv,7,4,wafer,2000,-27.9223,-19.5267385,-0.314613,-27.607687,35.821405,39.85897,2000,-18.9463779,1.6810640276753774,455,False,-16.01108967032967,0.229153114469423,-0.31461300000000003,-27.9223,27.607687,35.821405,21.466811184125,,False,,963.6657211996248
3-7-EPSC-365 nm-200 300 ms-64ci-5.csv,7,5,wafer,2000,-28.3431,-20.056232100000003,-0.454545,-27.888555,35.768916,40.267502,2000,-19.46277095,1.6760853283395314,504,True,-16.489047817460317,0.2589659558272733,-0.454545,-28.3431,27.888555,35.768916,20.963671410623515,,False,,980.08364775313
3-8-EPSC-365 nm-200 300 ms-64ci-1.csv,8,1,wafer,2000,-21.8779,-15.4835757,-0.0436349999999999,-21.834265,35.552077,40.667039,2000,-15.37412515,1.3799344359411525,422,False,-12.912659715639812,0.1885505462524054,-0.04363499999999999,-21.8779,21.834265000000002,35.552077,21.474011770523767,,False,,779.9314353853001
3-8-EPSC-365 nm-200 300 ms-64ci-2.csv,8,2,wafer,2000,-23.3393,-17.1071274,-0.145129,-23.194171,35.330087,41.994307000000006,2000,-17.0454784,1.3531398151680911,480,False,-14.549978125,0.2133895326673954,-0.145129,-23.3393,23.194171,35.330087,20.962796508864834,,False,,858.920023153428
3-8-EPSC-365 nm-200 300 ms-64ci-3.csv,8,3,wafer,2000,-23.5692,-17.50294715,-0.5828419999999999,-22.986358000000003,35.647182,41.951065,2000,-17.480775249999997,1.3365213501407782,522,True,-15.007082567049808,0.2275007249840177,-0.5828419999999999,-23.569200000000002,22.986358000000003,35.647182,20.45219703112207,,False,,855.8348321909681
3-8-EPSC-365 nm-200 300 ms-64ci-4.csv,8,4,wafer,2000,-18.3075,-12.09108895,-0.039885,-18.267615,33.192941,38.047216000000006,2000,-11.0797195,1.3759999824366216,500,True,-8.6189074,0.2084397274157936,-0.039885000000000004,-18.3075,18.267615,33.192941,24.341929939248942,,False,,596.3500351610925
3-8-EPSC-365 nm-200 300 ms-64ci-5.csv,8,5,wafer,2000,-21.3241,-15.4464068,-0.067662,-21.256438000000003,34.432973,40.800671,2000,-13.64861235,1.5233967202557974,573,True,-10.863856544502616,0.2632995457992828,-0.067662,-21.3241,21.256438000000003,34.432973,19.969083054001096,,False,,760.4260176925621
3-9-EPSC-365 nm-200 300 ms-64ci-1.csv,9,1,wafer,2000,-27.3168,-19.2698797,-0.2910839999999999,-27.025716,36.542898,40.531523,2000,-19.71749445,1.478783136875435,448,False,-17.108624776785714,0.2005033558159622,-0.29108399999999995,-27.3168,27.025716,36.542898,19.931624313508085,,False,,963.649019731846
3-9-EPSC-365 nm-200 300 ms-64ci-2.csv,9,2,wafer,2000,-27.2691,-19.27590845,-0.1137489999999999,-27.155351,35.821659,40.758882,2000,-19.5824703,1.4524428909164024,618,True,-16.878611812297734,0.2696104355229995,-0.11374899999999999,-27.269099999999998,27.155351,35.821659,20.424422879002748,,False,,966.3884564771881
3-9-EPSC-365 nm-200 300 ms-64ci-3.csv,9,3,wafer,2000,-27.1917,-19.7590853,-0.244428,-26.947272,35.478218,41.742881,2000,-19.561227700000003,1.43053674827905,1541,True,-16.241477482154448,0.6168359218197031,-0.244428,-27.1917,26.947272,35.478218,20.44655459082785,,False,,986.7944796978261
3-9-EPSC-365 nm-200 300 ms-64ci-4.csv,9,4,wafer,2000,-26.933200000000003,-19.7344317,-0.207604,-26.725596000000003,35.244153,42.076027,2000,-19.2512158,1.4189022204880832,454,False,-16.71833832599119,0.2052570300217523,-0.20760400000000004,-26.933200000000003,26.725596000000003,35.244153,19.91917387919595,,False,,988.616631509718
3-9-EPSC-365 nm-200 300 ms-64ci-5.csv,9,5,wafer,2000,-26.6934,-18.53608195,-0.41072,-26.28268,37.364891,39.826565,2000,-19.3785141,1.478056353432829,387,False,-16.821428423772613,0.1773355918685361,-0.41072000000000003,-26.6934,26.28268,37.364891,19.94207362206699,,False,,918.0075077566
