layer_id	module_path	role	stage	layer_type	diff_pair_arrays_128	parameter_count	perturbation_type	sigma_d2d	sigma_c2c	seed	metric_baseline	metric_perturbed	delta	baseline_loss	perturbed_loss	loss_delta	rank	subset_size	dataset	checkpoint_path	evidence_grade
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5213048160076141	0.049035534262657166	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.39335688948631287	0.0543738454580307	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.796875	0.9765625	0.36475880444049835	0.40582965314388275	0.0410708487033844	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.234375	0.9765625	0.47226928174495697	0.5180124640464783	0.0457431823015213	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	94.3359375	-0.5859375	0.33898304402828217	0.3052109330892563	-0.03377211093902588	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	93.359375	-0.5859375	0.36475880444049835	0.33214418590068817	-0.03261461853981018	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	89.6484375	1.5625	0.47226928174495697	0.5139825344085693	0.041713252663612366	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.3828125	1.3671875	0.33898304402828217	0.3220154643058777	-0.01696757972240448	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.38125714659690857	0.016498342156410217	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.40625	-0.1953125	0.47226928174495697	0.4486546814441681	-0.02361460030078888	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	91.796875	1.953125	0.33898304402828217	0.4561590105295181	0.11717596650123596	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.578125	0.1953125	0.36475880444049835	0.3769105523824692	0.012151747941970825	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.0390625	1.171875	0.47226928174495697	0.5012964755296707	0.029027193784713745	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	90.0390625	3.7109375	0.33898304402828217	0.544305145740509	0.20532210171222687	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	90.0390625	2.734375	0.36475880444049835	0.4527224898338318	0.08796368539333344	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	88.28125	2.9296875	0.47226928174495697	0.6416251957416534	0.16935591399669647	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.96875	0.78125	0.33898304402828217	0.3811390995979309	0.04215605556964874	15	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.9921875	0.78125	0.36475880444049835	0.4122495651245117	0.04749076068401337	15	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5362070202827454	0.06393773853778839	15	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
23	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.1640625	0.5859375	0.33898304402828217	0.3728109896183014	0.033827945590019226	31	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
