rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
32	27	stages.2.blocks.4.attn.proj	attention_proj	stage_2	AnalogLinear	133.391647	3.600000	0.990773	1000.0	0.4557291666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
33	19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	132.766220	3.600000	0.990813	1000.0	0.5859375	0.78125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
34	11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	123.432350	3.600000	0.989793	1000.0	0.3255208333333333	1.0022659061419694	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
35	15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	123.339684	3.600000	0.989678	1000.0	-0.1953125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
36	31	stages.2.blocks.5.attn.proj	attention_proj	stage_2	AnalogLinear	121.600685	3.600000	0.988847	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
37	23	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	120.567215	3.600000	0.988784	1000.0	0.13020833333333334	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
38	7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	104.240982	3.600000	0.990411	1000.0	0.3255208333333333	0.5966895436140417	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
39	1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	93.499023	3.600000	0.986966	1000.0	0.5859375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
40	3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	84.818527	3.600000	0.985812	1000.0	-0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
41	0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	33.287403	3.600000	0.994511	1000.0	0.5208333333333334	0.9634536840461422	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
42	14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	32.795803	3.600000	0.810677	1000.0	0.6510416666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
