CH1 Voltage 1,CH1 Current 1,CH1 Resistance 1,CH1 Power 1,CH1 Time 1,CH1 State 1,CH1 Source 1,CH2 Voltage 1,CH2 Current 1,CH2 Resistance 1,CH2 Power 1,CH2 Time 1,CH2 State 1,CH2 Source 1
-30.0,-1.8317e-09,16378227875.743845,5.4951e-08,4.860594,1280.0,-30.0,-4.6939,2.7078e-09,-1733473668.6609056,-1.2710142420000001e-08,4.860594,1216.0,-4.6938775510204085
-30.0,-1.5455e-09,19411193788.417988,4.6365000000000005e-08,4.942289,1280.0,-30.0,-3.8776,2.4135e-09,-1606629376.4242802,-9.3585876e-09,4.942289,1216.0,-3.8775510204081627
-30.0,-1.3112e-09,22879804758.99939,3.9336e-08,5.0487649999999995,1280.0,-30.0,-3.0612000000000004,2.1104e-09,-1450530705.0796058,-6.460356480000001e-09,5.0487649999999995,1216.0,-3.0612244897959187
-30.0,-1.1959e-09,25085709507.483902,3.5877e-08,5.1311219999999995,1280.0,-30.0,-2.2449000000000003,1.9658e-09,-1141977820.7345612,-4.41302442e-09,5.1311219999999995,1216.0,-2.2448979591836746
-30.0,-1.0774e-09,27844811583.44162,3.2322e-08,5.214602999999999,1280.0,-30.0,-1.428569,1.8053e-09,-791319448.2911427,-2.5789956157e-09,5.214602999999999,1152.0,-1.4285714285714288
-30.0,-9.847000000000001e-10,30466131816.79699,2.9541000000000003e-08,5.314353,1280.0,-30.0,-0.6122409999999999,1.6652e-09,-367668147.9702138,-1.0195037132e-09,5.314353,1152.0,-0.612244897959183
-30.0,-9.517e-10,31522538615.109806,2.8551e-08,5.393631999999999,1280.0,-30.0,0.2040842,1.6174e-09,126180413.00853221,3.3008578508e-10,5.393631999999999,1088.0,0.204081632653061
-30.0,-8.761e-10,34242666362.28741,2.6283e-08,5.472347,1280.0,-30.0,1.020411,1.5103e-09,675634642.1240813,1.5411267333e-09,5.472347,1152.0,1.020408163265305
-30.0,-8.25e-10,36363636363.63636,2.475e-08,5.553376,1280.0,-30.0,1.8367319999999998,1.4231e-09,1290655610.990092,2.6138533092e-09,5.553376,1152.0,1.8367346938775508
-30.0,-7.969e-10,37645877776.383484,2.3907e-08,5.633966,1280.0,-30.0,2.6531000000000002,1.3835e-09,1917672569.5699315,3.6705638500000006e-09,5.633966,1216.0,2.6530612244897958
-30.0,-7.467e-10,40176777822.41864,2.2401e-08,5.717423999999999,1280.0,-30.0,3.4694000000000003,1.3110000000000001e-09,2646376811.594203,4.548383400000001e-09,5.717423999999999,1216.0,3.4693877551020407
-30.0,-7.225e-10,41522491349.480965,2.1675e-08,5.817629999999999,1280.0,-30.0,4.2857,1.2626e-09,3394345002.3760495,5.41112482e-09,5.817629999999999,1216.0,4.285714285714286
-30.0,-6.885000000000001e-10,43572984749.45534,2.0655000000000002e-08,5.902619,1280.0,-30.0,5.101990000000001,1.2163e-09,4194680588.670559,6.205550437000001e-09,5.902619,1216.0,5.1020408163265305
-30.0,-7.021e-10,42728955989.17533,2.1062999999999998e-08,5.981446,1280.0,-30.0,5.9184,1.2204e-09,4849557522.123894,7.22281536e-09,5.981446,1216.0,5.918367346938775
-30.0,-6.942e-10,43215211754.5376,2.0826e-08,6.06377,1280.0,-30.0,6.7347,1.2012e-09,5606643356.643357,8.08972164e-09,6.06377,1216.0,6.73469387755102
-30.0,-7.314e-10,41017227235.43889,2.1942e-08,6.143278,1280.0,-30.0,7.551000000000001,1.231e-09,6134037367.993502,9.295281000000002e-09,6.143278,1216.0,7.551020408163265
-30.0,-7.485000000000001e-10,40080160320.64128,2.2455e-08,6.217568,1280.0,-30.0,8.3673,1.2445e-09,6723423061.47047,1.041310485e-08,6.217568,1216.0,8.36734693877551
-30.0,-7.638e-10,39277297721.91673,2.2914e-08,6.324154999999999,1280.0,-30.0,9.1837,1.2402000000000001e-09,7405015320.109659,1.1389624740000002e-08,6.324154999999999,1216.0,9.183673469387756
-30.0,-8.167e-10,36733194563.487206,2.4501e-08,6.408456999999999,1280.0,-30.0,10.0,1.2844e-09,7785736530.675801,1.2844e-08,6.408456999999999,1216.0,10.0
